India/State /UT,Number of Schools – Government,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,1013322,618398,206205,65203,17294,23305,12060,27090,25746,15324,2697
Andaman and Nicobar Islands,335,175,59,0,43,3,0,34,15,6,0
Andhra Pradesh,44886,34240,3209,0,3462,2199,0,460,772,0,544
Arunachal Pradesh,2558,1289,881,21,151,67,0,46,66,37,0
Assam,44741,33459,3544,2804,1133,1814,395,388,826,36,342
Bihar,76320,37965,28612,226,47,11,19,201,899,8308,32
Chandigarh,118,3,11,0,55,0,0,47,1,1,0
Chhattisgarh,48827,30736,124,12976,69,27,1803,550,171,2363,8
"Dadra and Nagar Haveli andDaman and Diu",361,150,146,3,7,3,15,2,4,30,1
Delhi,2681,1524,8,14,22,66,0,550,438,59,0
Goa,780,648,38,0,0,78,0,5,2,0,9
Gujarat,34638,12285,20034,113,100,24,1055,91,206,584,146
Haryana,14338,8655,2,2212,8,902,0,63,2495,1,0
Himachal Pradesh,14725,9943,6,1775,3,961,0,31,2006,0,0
Jammu and Kashmir,18785,8963,7131,102,1425,302,25,227,145,463,2
Jharkhand,35788,21261,11426,17,1484,74,223,407,479,350,67
Karnataka,48844,20091,21768,108,688,1129,3497,51,173,685,654
Kerala,4808,2382,1058,58,210,48,35,428,399,180,10
Ladakh,812,313,358,10,61,23,1,9,9,27,1
Lakshadweep,36,15,10,0,0,0,0,3,3,5,0
Madhya Pradesh,92250,58098,17358,7270,2068,913,1924,1594,1237,1788,0
Maharashtra,64884,42346,20442,5,1064,326,236,371,84,2,8
Manipur,2952,1968,507,3,332,43,0,58,32,5,4
Meghalaya,7789,5437,8,2188,11,88,0,14,35,3,5
Mizoram,2617,1275,8,944,2,3,302,3,12,0,68
Nagaland,1936,1011,587,17,144,108,2,15,51,1,0
Odisha,48625,26891,14842,822,3096,1121,880,165,450,67,291
Puducherry,419,233,46,1,36,32,0,7,52,8,4
Punjab,19243,12818,6,2624,24,1685,0,112,1962,3,9
Rajasthan,70155,32136,17944,208,327,17,0,19159,306,58,0
Sikkim,857,463,173,0,120,1,0,92,8,0,0
Tamil Nadu,37626,24280,6966,42,27,3070,2,174,3024,39,2
Telangana,30057,19748,3228,7,401,4855,0,838,505,0,475
Tripura,4187,2052,1100,1,578,4,0,404,48,0,0
Uttar Pradesh,137172,87754,24472,21889,36,45,1475,264,1086,151,0
Uttarakhand,16018,11116,14,2489,11,739,171,51,1358,64,5
West Bengal,82154,66675,79,6254,49,2524,0,176,6387,0,10
