India/State /UT,Number of teachers by Gender and Classes Taught – Private Unaided Recognized,,,,,,,,
"",Secondary Only,Secondary & Higher Secondary,Higher Secondary Only,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(23),(24),(25),(26),(27),(28),(29),(30),(31)
India,181037,233360,414397,121356,114855,236211,144651,134985,279636
Andaman and Nicobar Islands,16,77,93,26,66,92,28,50,78
Andhra Pradesh,9225,8541,17766,178,97,275,12586,7122,19708
Arunachal Pradesh,165,123,288,113,91,204,66,45,111
Assam,5645,4581,10226,1960,2211,4171,3335,3722,7057
Bihar,5973,2440,8413,3533,1062,4595,5140,1500,6640
Chandigarh,38,318,356,75,417,492,51,245,296
Chhattisgarh,1967,2606,4573,3640,3979,7619,2134,2147,4281
"Dadra and Nagar Haveli andDaman and Diu",34,100,134,56,75,131,25,71,96
Delhi,1348,6312,7660,445,1196,1641,2053,6444,8497
Goa,25,147,172,18,60,78,29,93,122
Gujarat,7457,7989,15446,4680,4426,9106,6888,5434,12322
Haryana,4355,9690,14045,8452,13825,22277,4021,6631,10652
Himachal Pradesh,919,1993,2912,1245,2272,3517,752,1225,1977
Jammu and Kashmir,4120,4226,8346,410,327,737,1282,1317,2599
Jharkhand,3292,2807,6099,2009,1180,3189,2900,1915,4815
Karnataka,11797,20700,32497,543,1213,1756,13426,14258,27684
Kerala,1695,10098,11793,677,4004,4681,1024,5067,6091
Ladakh,59,58,117,4,18,22,18,14,32
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,6221,7937,14158,11345,11865,23210,5738,5445,11183
Maharashtra,11158,27988,39146,2249,4005,6254,7863,10713,18576
Manipur,1391,750,2141,416,395,811,819,844,1663
Meghalaya,1033,1531,2564,93,208,301,407,869,1276
Mizoram,789,492,1281,14,14,28,456,413,869
Nagaland,794,802,1596,296,529,825,234,437,671
Odisha,3102,2286,5388,791,591,1382,5934,3816,9750
Puducherry,245,532,777,232,444,676,353,420,773
Punjab,4283,17303,21586,2521,7313,9834,3889,10622,14511
Rajasthan,17551,9867,27418,25444,11842,37286,12814,5415,18229
Sikkim,76,87,163,84,77,161,30,40,70
Tamil Nadu,9740,28504,38244,5102,12105,17207,7387,13716,21103
Telangana,11358,15800,27158,252,432,684,9225,6168,15393
Tripura,268,207,475,327,286,613,135,99,234
Uttar Pradesh,51671,31403,83074,38489,20678,59167,30619,15610,46229
Uttarakhand,1607,2444,4051,2618,2866,5484,1852,1671,3523
West Bengal,1620,2621,4241,3019,4686,7705,1138,1387,2525
