India/State/ UT,Percentage of Trained Teachers– All Types of Management,,,,,
"",Secondary (9-10),Higher Secondary (11-12),,,,
"",Male,Female,Total,Male,Female,Total
(1),(11),(12),(13),(14),(15),(16)
India,92.0,93.5,92.7,91.9,93.3,92.6
Andaman and Nicobar Islands,96.2,95.7,95.9,95.6,96.9,96.3
Andhra Pradesh,92.7,92.5,92.6,83.4,84.6,83.9
Arunachal Pradesh,88.1,91.4,89.7,93.0,95.3,94.0
Assam,63.0,71.4,66.6,65.6,68.2,66.8
Bihar,94.8,95.8,95.2,93.4,95.6,94.1
Chandigarh,98.7,99.1,99.0,98.7,98.8,98.8
Chhattisgarh,86.0,88.0,86.9,87.6,90.3,88.9
Dadra and Nagar Haveli and Daman and Diu,96.8,97.2,97.0,96.0,96.2,96.1
Delhi,99.0,98.7,98.8,99.6,99.5,99.5
Goa,97.9,98.2,98.1,97.1,98.2,97.9
Gujarat,97.2,97.0,97.1,97.4,97.4,97.4
Haryana,94.8,95.4,95.1,95.6,96.2,96.0
Himachal Pradesh,95.7,96.5,96.1,96.6,97.5,97.0
Jammu and Kashmir,91.2,91.5,91.3,91.6,92.3,91.9
Jharkhand,95.1,95.9,95.4,94.0,95.7,94.6
Karnataka,89.1,91.6,90.4,92.5,91.1,91.9
Kerala,97.7,97.9,97.9,98.5,98.9,98.8
Ladakh,92.9,91.9,92.5,91.8,95.0,93.1
Lakshadweep,93.9,94.1,94.0,98.8,95.5,97.4
Madhya Pradesh,77.8,81.6,79.5,87.1,89.0,87.9
Maharashtra,98.0,97.1,97.6,98.3,97.0,97.7
Manipur,73.6,81.3,77.3,82.6,85.2,83.9
Meghalaya,66.6,68.0,67.4,68.2,65.6,66.5
Mizoram,85.3,85.3,85.3,86.8,88.8,87.8
Nagaland,70.4,74.0,72.3,82.3,81.2,81.6
Odisha,96.2,96.6,96.4,80.2,81.2,80.6
Puducherry,97.7,97.9,97.8,98.3,98.4,98.4
Punjab,97.4,97.0,97.1,97.5,96.7,97.0
Rajasthan,96.3,96.5,96.4,97.2,97.7,97.3
Sikkim,85.9,88.9,87.6,89.6,93.3,91.7
Tamil Nadu,99.1,98.8,98.9,99.0,99.0,99.0
Telangana,98.0,96.8,97.4,68.1,78.7,73.0
Tripura,81.9,87.9,84.2,92.3,92.8,92.5
Uttar Pradesh,88.8,88.7,88.8,88.6,88.2,88.5
Uttarakhand,97.0,96.4,96.7,97.3,97.1,97.2
West Bengal,97.2,96.9,97.1,97.7,97.3,97.6
