India/State /UT,Number of Teachers in Government Aided Schools,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,757624,78419,101343,29782,82856,54956,42896,134425,144253,54148,34546
Andaman and Nicobar Islands,75,0,0,0,0,0,0,75,0,0,0
Andhra Pradesh,3813,968,539,7,50,1685,0,0,17,0,547
Arunachal Pradesh,1044,69,271,0,393,0,0,311,0,0,0
Assam,11884,0,19,5712,127,852,3834,120,125,104,991
Bihar,3395,58,1233,57,403,366,301,63,315,475,124
Chandigarh,344,0,0,0,0,0,0,273,71,0,0
Chhattisgarh,2501,627,255,279,93,2,5,450,469,321,0
"Dadra and Nagar Haveli andDaman and Diu",227,0,0,0,104,0,0,0,123,0,0
Delhi,4859,185,135,59,181,212,0,2649,1438,0,0
Goa,9460,688,231,11,4308,2247,4,28,0,0,1943
Gujarat,45148,372,1216,1153,9,61,5902,184,1056,34995,200
Haryana,71,0,0,0,0,0,0,64,7,0,0
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,15,0,0,0,15,0,0,0,0,0,0
Jharkhand,6229,1190,3195,41,141,1221,50,102,178,4,107
Karnataka,39091,427,10715,52,987,475,19245,190,113,1941,4946
Kerala,119464,24956,29057,5647,2442,6327,1370,6503,30130,12960,72
Ladakh,90,59,14,0,17,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,4078,460,615,87,70,16,62,1227,913,628,0
Maharashtra,271464,19160,39009,0,70214,18390,75,100756,8705,153,15002
Manipur,2463,994,357,115,484,336,64,30,0,0,83
Meghalaya,18035,6660,144,4214,126,1769,2988,214,582,735,603
Mizoram,1895,0,0,533,0,0,994,0,0,0,368
Nagaland,0,0,0,0,0,0,0,0,0,0,0
Odisha,32761,944,433,2231,318,11646,7869,8,0,0,9312
Puducherry,866,20,0,0,307,0,0,539,0,0,0
Punjab,4647,152,139,9,285,102,2,3027,931,0,0
Rajasthan,0,0,0,0,0,0,0,0,0,0,0
Sikkim,125,15,12,0,0,14,0,24,60,0,0
Tamil Nadu,73111,18830,11172,94,363,4766,11,3131,34629,115,0
Telangana,3085,905,383,0,511,1064,0,0,0,0,222
Tripura,1061,15,4,0,53,0,0,776,213,0,0
Uttar Pradesh,90121,397,2147,8842,827,3083,63,12708,60531,1509,14
Uttarakhand,5177,41,39,639,3,293,57,638,3247,208,12
West Bengal,1025,227,9,0,25,29,0,335,400,0,0
