India/State /UT,Number of Teachers in Private Unaided Recognized Schools,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,3962114,443784,996737,62598,748589,78152,34137,1341160,95325,63012,98620
Andaman and Nicobar Islands,1246,149,333,0,164,0,0,600,0,0,0
Andhra Pradesh,144233,27381,26901,40,34144,31724,0,4318,180,0,19545
Arunachal Pradesh,7369,1134,3803,0,1585,0,0,839,0,8,0
Assam,101099,3437,17313,720,44879,346,895,27679,879,1646,3305
Bihar,136596,2950,85626,32,8677,270,2307,30661,214,1373,4486
Chandigarh,4429,162,242,0,437,0,0,3534,54,0,0
Chhattisgarh,93648,7565,30889,279,10838,74,77,42316,476,1125,9
"Dadra and Nagar Haveli andDaman and Diu",1845,222,250,0,314,0,0,1059,0,0,0
Delhi,71004,7577,11000,28,5387,48,0,46536,332,96,0
Goa,2335,980,92,0,429,52,0,731,0,0,51
Gujarat,152266,5557,58056,1544,10929,113,2345,58397,801,11960,2564
Haryana,157257,4790,21830,19,21460,137,0,108041,934,33,13
Himachal Pradesh,36126,2093,5455,0,10260,0,0,17982,151,120,65
Jammu and Kashmir,72131,9853,19672,0,25549,9,8,16807,92,115,26
Jharkhand,39420,34,2323,9,8895,2653,700,21684,125,28,2969
Karnataka,217845,9453,41140,244,104645,611,8753,26425,157,1026,25391
Kerala,82734,3080,5789,110,24212,254,149,47378,972,398,392
Ladakh,1711,169,632,0,635,17,0,258,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,316535,9155,139116,89,40609,152,367,123879,1113,2021,34
Maharashtra,243280,25412,46008,263,70840,9746,2989,70614,4515,1384,11509
Manipur,20702,412,3777,42,10656,43,37,4543,85,75,1032
Meghalaya,13716,3959,1868,468,2616,212,1850,1305,83,331,1024
Mizoram,8203,960,4296,394,351,25,1222,44,0,51,860
Nagaland,14604,1271,1982,0,5768,0,0,5583,0,0,0
Odisha,85435,5344,41154,290,14581,1319,923,13150,61,0,8613
Puducherry,8036,425,312,0,1779,0,0,5492,0,0,28
Punjab,145942,4026,17592,18,31399,45,8,90614,301,532,1407
Rajasthan,339793,12631,104526,25,67155,226,37,151634,2889,655,15
Sikkim,3920,1286,1437,0,392,0,0,805,0,0,0
Tamil Nadu,253432,39624,8921,20,31360,825,2,167696,4864,24,96
Telangana,199734,4658,42084,0,123788,2269,0,11987,5,0,14943
Tripura,8195,1585,1788,0,1485,10,0,3327,0,0,0
Uttar Pradesh,823948,204336,214442,54608,20193,25696,11367,180896,72665,39664,81
Uttarakhand,67489,6879,24678,556,4698,265,101,28209,1723,347,33
West Bengal,85856,35235,11410,2800,7480,1011,0,26137,1654,0,129
