India/State/ UT,New Admissions in Class 1 – All types of management,,,,,,,,,,,
"",Total,Boys,Girls,,,,,,,,,
"","Admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,,,,,,
"","sameschool","anotherschool","Anganwadi/ ECCECentre","sameschool","anotherschool","Anganwadi/ ECCECentre","sameschool","anotherschool","Anganwadi/ ECCECentre",,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,19202653,9179677,1626252,4566554,10041797,4876648,887020,2267206,9160856,4303029,739232,2299348
Andaman and Nicobar Islands,4953,3551,1043,198,2553,1804,547,107,2400,1747,496,91
Andhra Pradesh,689775,330044,125929,193528,358203,176264,68458,92581,331572,153780,57471,100947
Arunachal Pradesh,33611,20268,6080,3136,17183,10489,3114,1563,16428,9779,2966,1573
Assam,643676,404292,35975,116861,331150,209336,19400,57967,312526,194956,16575,58894
Bihar,1536159,497524,55407,480732,803031,276802,31395,237773,733128,220722,24012,242959
Chandigarh,14377,10987,2180,95,7510,5649,1203,50,6867,5338,977,45
Chhattisgarh,493387,189148,41799,189956,251772,98639,22004,93693,241615,90509,19795,96263
"Dadra and Nagar Haveli andDaman and Diu",12089,6206,1814,571,6391,3232,1029,286,5698,2974,785,285
Delhi,313291,166499,53679,3927,163228,80712,32462,2179,150063,85787,21217,1748
Goa,22117,12623,4006,2458,11467,6454,2208,1257,10650,6169,1798,1201
Gujarat,1019394,780653,114076,42031,536659,407497,62389,21735,482735,373156,51687,20296
Haryana,417292,254306,47407,26753,223897,136588,26380,13852,193395,117718,21027,12901
Himachal Pradesh,73176,52303,8008,3901,39017,27996,4367,1981,34159,24307,3641,1920
Jammu and Kashmir,209648,169246,21019,3485,108793,87279,11505,1816,100855,81967,9514,1669
Jharkhand,606485,260596,30298,222244,318434,142176,16837,110936,288051,118420,13461,111308
Karnataka,951075,359493,99651,361757,490512,190573,53002,178997,460563,168920,46649,182760
Kerala,446347,319166,70331,38939,228584,163178,36304,19761,217763,155988,34027,19178
Ladakh,4598,3661,447,12,2318,1820,243,6,2280,1841,204,6
Lakshadweep,1060,327,414,275,558,176,209,140,502,151,205,135
Madhya Pradesh,1098899,591244,84013,265371,581858,320121,47094,131973,517041,271123,36919,133398
Maharashtra,1726355,446344,142433,747825,898307,236919,76893,380827,828048,209425,65540,366998
Manipur,64841,43448,9047,7669,33509,22556,4690,3797,31332,20892,4357,3872
Meghalaya,111413,100144,6271,2286,58178,52205,3272,1254,53235,47939,2999,1032
Mizoram,28717,22851,3543,1281,14586,11623,1812,619,14131,11228,1731,662
Nagaland,37050,32406,4129,74,19205,16788,2145,30,17845,15618,1984,44
Odisha,609228,97134,21472,438816,313618,53867,11629,220330,295610,43267,9843,218486
Puducherry,17009,12529,3796,109,8684,6433,1870,58,8325,6096,1926,51
Punjab,443422,364271,45695,4747,236646,194096,24787,2491,206776,170175,20908,2256
Rajasthan,1167592,440968,80870,198696,623833,244683,45176,95967,543759,196285,35694,102729
Sikkim,8168,6604,1357,31,4248,3396,742,13,3920,3208,615,18
Tamil Nadu,927185,511809,127858,166202,476835,268562,67138,80611,450350,243247,60720,85591
Telangana,662134,376866,100805,124528,346589,200128,54102,60942,315545,176738,46703,63586
Tripura,53099,18276,4906,24828,27048,9632,2574,12224,26051,8644,2332,12604
Uttar Pradesh,3324883,1112656,214314,812446,1766390,618959,120423,397993,1558493,493697,93891,414453
Uttarakhand,173455,82345,20312,31558,92366,44678,11185,15618,81089,37667,9127,15940
West Bengal,1256693,1078889,35868,49228,638637,545338,18432,25779,618056,533551,17436,23449
