India/State/ UT,Gross Enrolment Ratio (GER) – Scheduled Tribes (ST),,,,,,,,,,,,,,
"",Primary (1 to 5),Upper Primary (6 to 8),Elementary (1 to 8),Secondary (9-10),Higher Secondary (11-12),,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,98.4,99.3,98.8,97.9,101.1,99.5,98.2,99.9,99.0,78.9,83.8,81.3,48.4,55.5,51.9
Andaman and Nicobar Islands,84.8,93.2,88.6,94.6,111.6,102.4,88.5,100.0,93.7,81.2,92.5,86.5,62.5,82.9,72.1
Andhra Pradesh,118.1,124.6,121.2,110.9,120.0,115.3,115.5,122.9,119.0,86.3,93.6,89.8,67.0,77.6,72.2
Arunachal Pradesh,111.5,114.9,113.2,85.5,92.2,88.8,100.9,105.5,103.1,69.7,75.0,72.3,48.0,50.8,49.4
Assam,118.9,125.2,121.9,105.4,112.0,108.6,113.6,119.9,116.6,94.9,100.9,97.9,60.4,62.2,61.3
Bihar,120.0,118.5,119.3,96.9,105.3,100.9,111.4,113.5,112.4,69.4,77.6,73.4,51.3,59.0,55.1
Chandigarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chhattisgarh,90.1,91.0,90.5,92.1,94.7,93.4,90.8,92.3,91.5,67.7,77.5,72.5,42.5,57.6,50.1
"Dadra and Nagar Haveli andDaman and Diu",66.1,71.8,68.8,67.7,76.1,71.6,66.7,73.5,69.9,65.6,75.0,69.9,37.2,55.4,45.8
Delhi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Goa,63.5,69.6,66.4,68.0,74.3,70.9,65.3,71.4,68.2,63.3,73.8,68.1,60.7,69.1,64.8
Gujarat,83.0,82.4,82.7,100.2,100.8,100.5,89.2,89.0,89.1,77.4,78.7,78.0,44.9,55.3,49.9
Haryana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Himachal Pradesh,95.9,98.3,97.0,104.4,106.2,105.3,99.3,101.4,100.3,105.7,106.1,105.9,85.4,87.4,86.4
Jammu and Kashmir,155.8,151.7,153.8,95.8,101.3,98.4,129.4,130.9,130.1,72.5,72.5,72.5,39.2,38.4,38.8
Jharkhand,101.6,105.3,103.4,85.0,90.8,87.8,95.3,99.7,97.4,66.1,72.9,69.5,38.8,45.4,42.2
Karnataka,106.9,108.2,107.5,106.9,108.2,107.5,106.9,108.2,107.5,101.0,102.9,101.9,44.8,61.5,52.8
Kerala,89.6,93.1,91.2,96.5,96.3,96.4,92.2,94.3,93.2,105.7,99.5,102.6,86.2,97.5,91.7
Ladakh,73.4,79.7,76.4,56.5,69.7,62.5,66.7,75.9,71.0,56.3,67.0,61.5,35.8,48.4,41.9
Lakshadweep,76.3,77.6,76.9,63.8,63.3,63.5,71.6,71.7,71.6,59.6,63.2,61.3,38.1,37.2,37.6
Madhya Pradesh,79.6,78.2,78.9,89.6,86.8,88.2,83.0,81.1,82.1,57.8,59.5,58.6,29.7,35.9,32.8
Maharashtra,104.6,108.5,106.5,100.2,106.1,103.0,102.9,107.6,105.2,96.4,98.6,97.5,57.1,59.0,58.0
Manipur,129.5,137.4,133.2,69.5,76.7,72.9,104.1,111.8,107.7,52.7,59.1,55.8,33.3,37.6,35.4
Meghalaya,190.9,193.6,192.2,112.0,135.9,123.7,159.3,170.4,164.7,76.5,106.4,91.2,33.5,48.3,40.8
Mizoram,144.6,146.5,145.5,109.2,114.0,111.5,130.3,133.4,131.8,94.9,108.2,101.4,52.3,61.9,57.0
Nagaland,90.0,93.8,91.9,68.2,76.0,71.9,80.9,86.4,83.5,58.4,68.7,63.3,37.8,44.4,41.1
Odisha,93.0,92.1,92.5,109.2,111.5,110.3,98.7,98.8,98.7,90.6,96.5,93.5,57.2,66.9,61.9
Puducherry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Punjab,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rajasthan,92.1,92.4,92.3,102.1,104.1,103.1,95.6,96.5,96.1,85.2,85.7,85.4,64.2,64.4,64.3
Sikkim,101.7,94.4,98.2,76.3,81.0,78.6,90.6,88.5,89.6,74.1,80.9,77.4,47.5,58.7,53.1
Tamil Nadu,113.1,115.9,114.4,115.8,118.3,117.0,114.1,116.7,115.4,94.1,104.3,98.9,66.5,85.6,75.5
Telangana,98.5,97.8,98.2,101.7,102.9,102.3,99.7,99.7,99.7,88.4,92.1,90.1,64.6,78.0,70.9
Tripura,121.3,125.0,123.1,97.6,104.9,101.1,111.3,116.6,113.8,73.4,82.9,78.0,48.5,58.9,53.4
Uttar Pradesh,129.9,125.8,127.9,142.5,143.7,143.1,134.1,131.8,133.0,105.1,104.2,104.6,139.3,143.4,141.3
Uttarakhand,87.0,91.5,89.1,79.6,85.2,82.3,83.9,88.9,86.3,73.5,76.6,74.9,68.4,71.6,70.0
West Bengal,107.0,108.4,107.7,107.4,111.6,109.4,107.2,109.6,108.3,97.7,109.9,103.6,38.1,45.4,41.7
