India/State/ UT,Total Schools,Number of schools having drinking water facility within school premises – Government,"No. of schoolsnot havingdrinking waterfacility withinschool premises","Percentage ofschools havingdrinking waterfacility withinschool premises",,,,,,
"",,"Any sourceof drinkingwater",Tap Water,"PackedWater",Hand Pump,Well,"UnprotectedWell","Othersources",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,1013322,1006864,590220,14269,354817,11719,2587,33252,6458,99.4
Andaman and Nicobar Islands,335,335,298,2,2,7,10,16,0,100
Andhra Pradesh,44886,44886,31869,3398,8103,156,21,1339,0,100
Arunachal Pradesh,2558,2325,1971,17,247,37,20,33,233,90.9
Assam,44741,44357,25824,129,14725,1963,399,1317,384,99.1
Bihar,76320,76168,37026,453,38645,6,2,36,152,99.8
Chandigarh,118,118,118,0,0,0,0,0,0,100
Chhattisgarh,48827,48554,16167,487,31294,114,57,435,273,99.4
"Dadra and Nagar Haveli andDaman and Diu",361,361,340,1,17,1,0,2,0,100
Delhi,2681,2681,2672,0,9,0,0,0,0,100
Goa,780,780,771,1,0,3,0,5,0,100
Gujarat,34638,34612,28758,357,4444,220,23,810,26,99.9
Haryana,14338,14338,12097,23,1226,117,2,873,0,100
Himachal Pradesh,14725,14725,14569,13,89,5,1,48,0,100
Jammu and Kashmir,18785,18706,16243,224,639,228,192,1180,79,99.6
Jharkhand,35788,35461,10143,133,24238,398,109,440,327,99.1
Karnataka,48844,48807,43332,781,2708,1096,42,848,37,99.9
Kerala,4808,4804,2398,16,493,1796,17,84,4,99.9
Ladakh,812,800,520,44,168,7,0,61,12,98.5
Lakshadweep,36,36,35,0,0,1,0,0,0,100
Madhya Pradesh,92250,91811,19212,1496,66914,778,355,3056,439,99.5
Maharashtra,64884,64678,46220,848,12576,1183,209,3642,206,99.7
Manipur,2952,2945,706,478,49,46,54,1612,7,99.8
Meghalaya,7789,5479,3735,162,274,495,364,449,2310,70.3
Mizoram,2617,2452,1829,83,4,14,13,509,165,93.7
Nagaland,1936,1704,1104,143,54,81,29,293,232,88
Odisha,48625,48625,29942,1329,16605,154,44,551,0,100
Puducherry,419,419,403,0,9,1,0,6,0,100
Punjab,19243,19240,12875,15,3863,16,1,2470,3,100
Rajasthan,70155,69485,32728,825,25847,2131,227,7727,670,99
Sikkim,857,856,845,5,0,2,1,3,1,99.9
Tamil Nadu,37626,37532,34991,378,1674,129,8,352,94,99.8
Telangana,30057,29891,22631,837,5021,74,15,1313,166,99.4
Tripura,4187,4077,2539,31,928,114,170,295,110,97.4
Uttar Pradesh,137172,136840,76455,273,58999,34,12,1067,332,99.8
Uttarakhand,16018,15888,14580,34,1070,18,6,180,130,99.2
West Bengal,82154,82088,44274,1253,33883,294,184,2200,66,99.9
