India/State/ UT,Percentage of Schools with toilet facility,Percentage of Schools with functional toilet facility,,,,,,,,
"","Allmanagement",Government.,"Government.aided",Pvt. unaided,Others,"Allmanagement",Government.,"Government.aided",Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,98.6,98.7,98.2,99.1,95.3,95.8,95.8,96.4,96.2,90.9
Andaman and Nicobar Islands,100,100,100,100,0,100,100,100,100,0
Andhra Pradesh,99.4,99.2,99.6,100,100,99.2,98.9,99.5,100,100
Arunachal Pradesh,95.8,94.8,100,99.3,100,79.7,74.8,98.6,98.4,96.4
Assam,96.3,99.5,75,98,47.9,95.1,99.5,63.2,94.4,38.7
Bihar,99.6,99.6,99,99.3,99.8,99.2,99.2,96.6,98.8,99.6
Chandigarh,100,100,100,100,0,100,100,100,100,0
Chhattisgarh,97.4,97,99,99.6,98.3,93.2,92.4,98.1,98.4,98.3
"Dadra & Nagar Haveli andDaman & Diu",100,100,100,100,100,100,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,100,100,100,100,0,100,100,100,100,0
Gujarat,99.5,99.2,99.7,100,100,98.8,98.3,99.5,99.8,100
Haryana,100,100,100,100,99.8,100,100,100,100,99.7
Himachal Pradesh,99.7,99.7,0,100,100,99.6,99.5,0,99.9,100
Jammu and Kashmir,96.9,96.1,100,99.7,95.7,90.9,88.9,100,98,93.6
Jharkhand,98.9,98.9,94.5,99.9,99.5,96.5,96.3,89.6,99.1,98.3
Karnataka,99.8,99.7,100,99.8,100,99.3,99.1,99.9,99.7,100
Kerala,99.9,99.9,99.9,100,99.9,99.8,99.8,99.8,99.9,99.9
Ladakh,97.9,97.8,94.7,100,0,95.5,95.2,92.1,99.1,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,98.9,98.9,99.6,99,98.8,92.1,91.3,96.5,94.8,94.1
Maharashtra,98.7,97.8,99.9,99.9,100,96.1,93.9,99.6,99.2,100
Manipur,91.6,91.4,79.5,99.5,87.9,81.9,79.4,66.5,97.4,84.8
Meghalaya,88.6,93.5,86.6,78.2,73.9,75.6,79,73.3,69.8,68
Mizoram,93.3,91.7,95.3,96.2,100,84.6,79.8,92.2,93.9,98.2
Nagaland,94.5,92.9,0,98.3,0,84.6,79.3,0,97.1,0
Odisha,99.7,99.8,98.8,99.9,99.2,99,99.2,97.6,99.2,98.5
Puducherry,100,100,100,100,0,100,100,100,100,0
Punjab,99.9,99.8,100,100,100,99.5,99.5,99.1,99.5,100
Rajasthan,96.9,96.3,0,98.4,92.3,89.3,89.6,0,89.4,79
Sikkim,99.7,99.6,93.8,100,0,99.5,99.4,93.8,100,0
Tamil Nadu,99.3,99.2,99.7,99.1,100,98.5,98,99.6,99.1,100
Telangana,97.2,96.1,92.6,100,100,94.6,92.4,91.9,99.8,100
Tripura,97.6,98.5,100,98.6,77.7,83.7,83.4,97.6,94.4,64.6
Uttar Pradesh,98.9,99,99,98.8,99.3,95.7,96.9,95.4,94.6,92.2
Uttarakhand,99.6,99.5,99.5,99.9,100,94.6,94.6,94.8,94.8,90.6
West Bengal,99.7,99.8,100,99.8,99.5,99.7,99.8,100,99.8,99.5
