India/State/ UT,Total Schools,Schools with toilet facility,Schools with functional toilet facility,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471473,1013322,79349,339583,39219,1451586,999822,77912,336490,37362,1409933,971195,76474,326606,35658
Andaman and Nicobar Islands,408,335,2,71,0,408,335,2,71,0,408,335,2,71,0
Andhra Pradesh,61317,44886,838,15473,120,60970,44543,835,15472,120,60808,44387,834,15467,120
Arunachal Pradesh,3229,2558,72,571,28,3092,2425,72,567,28,2574,1914,71,562,27
Assam,55283,44741,1587,6480,2475,53264,44535,1190,6353,1186,52581,44503,1003,6118,957
Bihar,94339,76320,712,11274,6033,93953,76030,705,11198,6020,93567,75731,688,11141,6007
Chandigarh,207,118,7,82,0,207,118,7,82,0,207,118,7,82,0
Chhattisgarh,56802,48827,413,7382,180,55305,47364,409,7355,177,52966,45121,405,7263,177
"Dadra and Nagar Haveli andDaman and Diu",433,361,8,63,1,433,361,8,63,1,433,361,8,63,1
Delhi,5556,2681,238,2637,0,5556,2681,238,2637,0,5556,2681,238,2637,0
Goa,1479,780,558,141,0,1479,780,558,141,0,1479,780,558,141,0
Gujarat,53355,34638,5522,13190,5,53066,34368,5507,13186,5,52715,34044,5497,13169,5
Haryana,23494,14338,4,8499,653,23493,14338,4,8499,652,23488,14338,4,8495,651
Himachal Pradesh,17330,14725,0,2603,2,17281,14676,0,2603,2,17260,14657,0,2601,2
Jammu and Kashmir,24192,18785,1,5359,47,23441,18051,1,5344,45,21992,16694,1,5253,44
Jharkhand,44376,35788,1155,1707,5726,43883,35388,1092,1705,5698,42816,34458,1035,1692,5631
Karnataka,74859,48844,6905,19105,5,74692,48715,6902,19070,5,74357,48403,6899,19050,5
Kerala,15757,4808,7164,3018,767,15747,4805,7159,3017,766,15733,4798,7153,3016,766
Ladakh,961,812,38,111,0,941,794,36,111,0,918,773,35,110,0
Lakshadweep,36,36,0,0,0,36,36,0,0,0,36,36,0,0,0
Madhya Pradesh,122120,92250,550,28212,1108,120797,91221,548,27933,1095,112532,84206,531,26752,1043
Maharashtra,108250,64884,24406,18746,214,106807,63473,24390,18730,214,104061,60957,24303,18587,214
Manipur,4666,2952,585,1030,99,4276,2699,465,1025,87,3820,2344,389,1003,84
Meghalaya,14587,7789,4172,2135,491,12931,7286,3613,1669,363,11035,6154,3056,1491,334
Mizoram,3974,2617,232,1068,57,3706,2401,221,1027,57,3361,2088,214,1003,56
Nagaland,2750,1936,0,814,0,2599,1799,0,800,0,2326,1536,0,790,0
Odisha,61565,48625,5868,6107,965,61362,48511,5795,6099,957,60970,48234,5725,6060,951
Puducherry,763,419,33,311,0,763,419,33,311,0,763,419,33,311,0
Punjab,27281,19243,437,7589,12,27252,19214,437,7589,12,27141,19146,433,7550,12
Rajasthan,106302,70155,0,33548,2599,102975,67561,0,33016,2398,94925,62878,0,29994,2053
Sikkim,1245,857,16,372,0,1241,854,15,372,0,1239,852,15,372,0
Tamil Nadu,57935,37626,8254,11890,165,57519,37340,8229,11785,165,57038,36873,8222,11778,165
Telangana,43154,30057,579,12474,44,41949,28896,536,12473,44,40815,27785,532,12454,44
Tripura,4943,4187,42,485,229,4824,4126,42,478,178,4139,3492,41,458,148
Uttar Pradesh,262358,137172,8262,104508,12416,259508,135797,8177,103203,12331,251161,132987,7885,98840,11449
Uttarakhand,22452,16018,615,5352,467,22357,15931,612,5347,467,21240,15161,583,5073,423
West Bengal,93715,82154,74,7176,4311,93473,81951,74,7159,4289,93473,81951,74,7159,4289
